[34m[1mwandb[0m: [33mWARNING[0m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Starting training with run name: hl_3_bs_32_ac_sigmoid
Epoch 1/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 2/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 3/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 4/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 5/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 6/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 7/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 8/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 9/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
Epoch 10/10 - Batch 1680/1687 - train-loss: 0.181250 train-acc: 0.093750 val-loss:0.095030 val-acc : 0.105500 
